title,company,location,posted_date,salary,skills,experience_required,description,employment_type,url,source,repost_count,first_seen,last_seen
Senior Quality and Technical Operation Analyst,Salla,Saudi Arabia,2025-09-23 00:00:00.000,Not Specified,Not Specified,Not Specified,"...reports such as SLA reports, Operational Excellence reports, Graylog reports, and additional performance-related reports. 
 Analyze data to identify trends, issues, and areas for improvement. 
 Collaborate with different teams to understand their reporting needs and...",Not Specified,https://jooble.org/jdp/-7565399392703829078,jooble,1,2026-09-12T11:33:39.881825+00:00,2026-09-12T11:44:17.394355+00:00
Systems Engineer,Azeus Convene,Saudi Arabia,2026-08-05 07:54:32.517,Not Specified,Not Specified,Not Specified,"Azeus Systems Limited is looking for a Systems Engineer to be part of our growing support team for our product, Azeus Convene. Azeus Convene is a multi-awarded meeting and collaboration solution for Boards and Leadership Teams. Our client base has grown exponentially,...",Not Specified,https://jooble.org/jdp/-117181269789385216,jooble,2,2026-09-12T11:33:39.881825+00:00,2026-09-12T11:44:17.394355+00:00
Engineering Manager - Deployment Engineering (Middle East),Cohere,Saudi Arabia,2026-08-05 07:54:34.193,Not Specified,Not Specified,Not Specified,"About the Role We're looking for an Engineering Manager to lead our Deployment Engineering team in the Middle East. This isn't a typical management role - we need someone who thrives in a fast-paced, high-growth environment and leads from the front: technically sharp, hands...",Not Specified,https://jooble.org/jdp/-4289022229007846954,jooble,2,2026-09-12T11:33:39.881825+00:00,2026-09-12T11:44:17.394355+00:00
Engineering Manager for the Catalog team,Salla,Saudi Arabia,2026-08-05 07:54:34.927,Not Specified,Not Specified,Not Specified,"We're hiring an Engineering Manager for the Catalog team — the system of record for every product sold on the platform. The team owns the product data model, taxonomy and attribution, data quality, and the browse and filtration experience that turns catalog data into discovery...",Not Specified,https://jooble.org/jdp/-7969602954474944406,jooble,1,2026-09-12T11:33:39.881825+00:00,2026-09-12T11:44:17.394355+00:00
AI Engineer,Uxbert Labs,Saudi Arabia,2026-08-05 07:54:35.343,Not Specified,Not Specified,Not Specified,"The Role We are seeking a talented AI Engineer to join our team and bridge the gap between innovative ideas and real-world applications. In this role, you will focus on applying existing AI models and tools to develop practical systems, rather than creating new AI algorithms...",Not Specified,https://jooble.org/jdp/4795485614960778348,jooble,1,2026-09-12T11:33:39.881825+00:00,2026-09-12T11:44:17.394355+00:00
Evaluation Engineer,Salla,Saudi Arabia,2026-08-05 07:54:35.720,Not Specified,Not Specified,Not Specified,"About the role We run production multi-agent systems that handle real work for a large base of users. As those systems grow, our biggest constraint is confidence: we need to know how well the agents perform, catch regressions before they ship, and keep quality steady as...",Not Specified,https://jooble.org/jdp/-4934464868143797508,jooble,1,2026-09-12T11:33:39.881825+00:00,2026-09-12T11:44:17.394355+00:00
Forward Deployed Engineer - Software Engineer - Saudi Arabia,Elevenlabs,Saudi Arabia,2026-08-17 00:00:00.000,Not Specified,python,Not Specified,"...builders doing the best work of their lives. We are researchers, engineers, and operators. IOI medalists and ex-founders. If you want to...  ...on a technical capacity - Proficiency in Python and strong software development knowledge, inclusive of a deep understanding of software...",Not Specified,https://jooble.org/jdp/3340566253261210746,jooble,1,2026-09-12T11:33:39.881825+00:00,2026-09-12T11:44:17.394355+00:00
Senior Backend Engineer - Checkout,Salla,Saudi Arabia,2026-08-18 19:54:36.063,Not Specified,Not Specified,Not Specified,"...We are looking for a Senior Backend Engineer - Checkout to join our engineering team focused on Fintech, Checkout, and Promotions. You...  ...systems problems, building high-performance services, and designing software that operates reliably at scale. You'll work closely with...",Not Specified,https://jooble.org/jdp/927490152558473665,jooble,2,2026-09-12T11:33:39.881825+00:00,2026-09-12T11:44:17.394355+00:00
Enterprise Solutions Engineer - Saudi Arabia,Valor Capital Group,Saudi Arabia,2026-08-20 00:00:00.000,Not Specified,python,Not Specified,"...builders doing the best work of their lives. We are researchers, engineers, and operators. IOI medalists and ex-founders. If you want to...  ...Proficiency in Python, inclusive of a deep understanding of software development, software architecture, and common integration patterns...",Not Specified,https://jooble.org/jdp/4811411030617440430,jooble,1,2026-09-12T11:33:39.881825+00:00,2026-09-12T11:44:17.394355+00:00
Enterprise Solutions Engineer - Saudi Arabia,Elevenlabs,Saudi Arabia,2026-08-20 00:00:00.000,Not Specified,Not Specified,Not Specified,"...do is the result of the creativity and commitment of our team - builders doing the best work of their lives. We are researchers, engineers, and operators. IOI medalists and ex-founders. If you want to work hard and create lasting positive impact, we want to hear from you...",Not Specified,https://jooble.org/jdp/-3265877045336877283,jooble,1,2026-09-12T11:33:39.881825+00:00,2026-09-12T11:44:17.394355+00:00
Senior Cyber Security Consultant,Immersivelabs,Saudi Arabia,2026-08-26 14:27:07.350,Not Specified,Not Specified,Not Specified,"...customer lifecycle - from pre-sales to post-sales and professional services - to join our growing Customer Success team as a  Senior Cyber Security Consultant  based in Saudi Arabia, covering the METNA region.  In this role, you will be the consistent value champion for...",Not Specified,https://jooble.org/jdp/-5398076980862755131,jooble,1,2026-09-12T11:33:39.881825+00:00,2026-09-12T11:44:17.394355+00:00
Senior Solutions Architect,Immersivelabs,Saudi Arabia,2026-08-26 14:27:07.507,Not Specified,Not Specified,Not Specified,"...and new technologies 
 Collaborate with product, content, and engineering teams to serve as the voice of the customer and influence...  ...stakeholders 
~ Proficiency in IT fundamentals (computer hardware/ software, databases, networking, security, and software development)
~...",Not Specified,https://jooble.org/jdp/-4062464755270031368,jooble,1,2026-09-12T11:33:39.881825+00:00,2026-09-12T11:44:17.394355+00:00
Senior Sales Engineer - KSA,Zscaler,Saudi Arabia,2026-09-11 20:19:28.860,Not Specified,Not Specified,Not Specified,"...impact at the company pioneering security transformation in the AI era? Join us at Zscaler. Role We are looking for a Senior Sales Engineer to join our team. This is a hybrid role, reporting to the Sales Engineering Manager in our Solutions Consulting team . As part of...",Not Specified,https://jooble.org/jdp/482971655250632672,jooble,1,2026-09-12T11:33:39.881825+00:00,2026-09-12T11:44:17.394355+00:00
